sequence,sid,pos_acts_toeachother,neg_acts_toeachother,pos_acts_together,neg_acts_together,pos_char1_acts,neg_char1_acts,pos_char2_acts,neg_char2_acts,pos,neg,filename,unique_ID,29:posFramesFired,30:negFramesFired,31:otherFramesFired,32:posFramewrtCharFired,33:negFramewrtCharFired,34:otherFrameswrtCharFired,manualLabel
1,s0,0,0,0,0,0,0,0,1,0,1,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents0,2,2,1,1,2,1,p
1,s9,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents9,1,1,0,0,0,0,p
1,s10,0,0,0,0,0,0,1,0,0,0,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents10,2,1,0,0,0,0,p
1,s12,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents12,0,1,0,0,0,0,p
1,s13,0,0,0,0,0,0,0,0,0,2,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents13,0,0,0,0,0,0,p
1,s14,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents14,0,0,0,0,0,0,p
1,s17,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents17,1,0,0,1,0,0,p
1,s21,0,0,1,0,0,0,0,0,1,0,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents21,0,2,1,0,2,1,p
1,s23,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents23,0,0,0,0,0,0,p
1,s24,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents24,0,1,0,0,0,0,p
2,s0,0,0,0,0,0,0,0,0,1,0,aeschylus.libation.0.5.sent,aeschylus.libation.0.5.sents0,2,2,1,0,2,0,n
2,s12,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.0.5.sent,aeschylus.libation.0.5.sents12,0,1,0,0,0,0,n
2,s14,0,0,0,0,0,0,0,0,0,1,aeschylus.libation.0.5.sent,aeschylus.libation.0.5.sents14,0,0,0,0,0,0,n
2,s16,0,0,0,0,0,0,0,0,0,1,aeschylus.libation.0.5.sent,aeschylus.libation.0.5.sents16,0,0,0,0,0,0,n
2,s20,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.0.5.sent,aeschylus.libation.0.5.sents20,0,0,0,0,0,0,n
2,s24,0,0,0,0,0,0,0,0,1,0,aeschylus.libation.0.5.sent,aeschylus.libation.0.5.sents24,0,1,0,0,0,0,n
3,s0,0,0,0,0,0,0,0,1,1,0,aeschylus.libation.2.3.sent,aeschylus.libation.2.3.sents0,2,2,1,1,2,1,n
3,s10,0,0,1,0,0,1,0,0,1,1,aeschylus.libation.2.3.sent,aeschylus.libation.2.3.sents10,2,1,0,0,0,0,n
3,s14,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.2.3.sent,aeschylus.libation.2.3.sents14,0,0,0,0,0,0,n
3,s15,0,0,0,0,0,0,0,0,0,1,aeschylus.libation.2.3.sent,aeschylus.libation.2.3.sents15,0,0,0,0,0,0,n
3,s17,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.2.3.sent,aeschylus.libation.2.3.sents17,1,0,0,1,0,0,n
4,s0,0,0,0,0,0,1,0,0,1,0,aeschylus.libation.3.5.sent,aeschylus.libation.3.5.sents0,2,2,1,1,2,1,n
4,s12,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.3.5.sent,aeschylus.libation.3.5.sents12,0,1,0,0,0,0,n
4,s14,0,0,0,0,0,0,0,0,0,1,aeschylus.libation.3.5.sent,aeschylus.libation.3.5.sents14,0,0,0,0,0,0,n
4,s15,0,0,0,0,0,0,0,0,0,1,aeschylus.libation.3.5.sent,aeschylus.libation.3.5.sents15,0,0,0,0,0,0,n
4,s18,0,0,0,0,0,0,0,1,0,1,aeschylus.libation.3.5.sent,aeschylus.libation.3.5.sents18,0,0,0,0,0,0,n
4,s22,1,0,0,1,0,0,0,0,0,1,aeschylus.libation.3.5.sent,aeschylus.libation.3.5.sents22,0,0,1,0,0,1,n
4,s24,0,0,0,0,0,0,0,0,1,0,aeschylus.libation.3.5.sent,aeschylus.libation.3.5.sents24,0,1,0,0,0,0,n
5,s5,0,0,0,0,0,0,0,0,0,0,agee.death.0.1.sent,agee.death.0.1.sents5,0,0,1,0,0,1,n
5,s6,0,0,0,0,0,0,0,0,0,0,agee.death.0.1.sent,agee.death.0.1.sents6,0,1,1,0,1,1,n
5,s7,0,0,0,0,0,1,0,0,1,1,agee.death.0.1.sent,agee.death.0.1.sents7,0,0,0,0,0,0,n
5,s15,0,0,0,0,0,1,0,0,1,0,agee.death.0.1.sent,agee.death.0.1.sents15,0,0,1,0,0,1,n
5,s40,0,0,0,0,0,0,1,0,1,0,agee.death.0.1.sent,agee.death.0.1.sents40,0,0,1,0,0,0,n
5,s41,0,0,0,0,0,0,0,0,0,1,agee.death.0.1.sent,agee.death.0.1.sents41,1,0,0,0,0,0,n
6,s10,0,0,0,0,0,0,0,0,0,0,agee.death.1.4.sent,agee.death.1.4.sents10,1,0,0,1,0,0,p
6,s11,0,0,0,0,0,0,1,0,0,1,agee.death.1.4.sent,agee.death.1.4.sents11,0,1,1,0,1,1,p
6,s12,0,0,1,0,0,0,0,0,2,0,agee.death.1.4.sent,agee.death.1.4.sents12,1,0,0,1,0,0,p
6,s14,0,0,0,0,0,0,0,0,0,0,agee.death.1.4.sent,agee.death.1.4.sents14,0,0,1,0,0,1,p
6,s21,0,0,0,0,0,0,0,0,0,1,agee.death.1.4.sent,agee.death.1.4.sents21,1,0,1,1,0,1,p
6,s30,0,0,0,0,0,0,0,0,0,0,agee.death.1.4.sent,agee.death.1.4.sents30,0,0,0,0,0,0,p
6,s41,0,0,0,0,0,0,0,0,0,0,agee.death.1.4.sent,agee.death.1.4.sents41,1,0,0,0,0,0,p
6,s42,0,0,0,0,0,0,0,0,0,0,agee.death.1.4.sent,agee.death.1.4.sents42,0,0,0,0,0,0,p
6,s44,0,0,0,0,0,0,0,0,0,0,agee.death.1.4.sent,agee.death.1.4.sents44,0,0,0,0,0,0,p
7,s30,0,0,0,0,0,0,0,0,0,1,agee.death.1.9.sent,agee.death.1.9.sents30,0,0,0,0,0,0,p
7,s36,0,0,0,0,0,1,0,0,0,0,agee.death.1.9.sent,agee.death.1.9.sents36,0,0,0,0,0,0,p
7,s40,0,0,0,0,1,0,0,0,1,0,agee.death.1.9.sent,agee.death.1.9.sents40,0,0,1,0,0,0,p
7,s42,0,0,0,0,0,0,0,0,0,0,agee.death.1.9.sent,agee.death.1.9.sents42,0,0,0,0,0,0,p
7,s70,0,0,0,0,0,1,0,0,0,2,agee.death.1.9.sent,agee.death.1.9.sents70,0,0,1,0,0,0,p
8,s18,0,0,0,0,0,0,0,0,0,0,agee.death.3.4.sent,agee.death.3.4.sents18,0,0,0,0,0,0,p
8,s23,0,0,0,1,0,0,0,0,0,0,agee.death.3.4.sent,agee.death.3.4.sents23,0,0,0,0,0,0,p
8,s34,0,0,0,0,0,0,0,0,0,0,agee.death.3.4.sent,agee.death.3.4.sents34,0,0,0,0,0,0,p
8,s43,0,0,0,0,0,0,0,0,0,0,agee.death.3.4.sent,agee.death.3.4.sents43,0,0,0,0,0,0,p
8,s47,0,0,0,0,0,0,0,0,0,0,agee.death.3.4.sent,agee.death.3.4.sents47,0,0,0,0,0,0,p
8,s61,0,0,1,0,0,0,0,0,0,0,agee.death.3.4.sent,agee.death.3.4.sents61,0,0,2,0,0,0,p
8,s71,0,0,0,1,0,0,0,0,0,0,agee.death.3.4.sent,agee.death.3.4.sents71,0,2,0,0,0,0,p
9,s18,0,0,0,0,0,0,0,0,0,0,agee.death.3.7.sent,agee.death.3.7.sents18,0,0,0,0,0,0,p
9,s19,0,0,0,0,0,0,0,0,0,0,agee.death.3.7.sent,agee.death.3.7.sents19,1,0,1,1,0,1,p
9,s20,0,0,0,0,0,0,0,0,0,0,agee.death.3.7.sent,agee.death.3.7.sents20,2,0,0,2,0,0,p
9,s54,0,0,0,0,0,0,0,0,0,0,agee.death.3.7.sent,agee.death.3.7.sents54,0,0,1,0,0,1,p
9,s59,0,0,0,1,0,0,0,0,0,2,agee.death.3.7.sent,agee.death.3.7.sents59,0,0,1,0,0,0,n
9,s60,0,0,0,0,0,0,0,0,0,0,agee.death.3.7.sent,agee.death.3.7.sents60,0,0,0,0,0,0,p
9,s71,0,0,0,0,0,1,0,0,0,2,agee.death.3.7.sent,agee.death.3.7.sents71,0,2,0,0,0,0,p
10,s26,0,0,0,0,0,0,0,0,0,0,agee.death.4.8.sent,agee.death.4.8.sents26,0,0,1,0,0,1,p
10,s27,0,0,0,0,0,0,0,0,0,0,agee.death.4.8.sent,agee.death.4.8.sents27,0,0,0,0,0,0,p
10,s32,0,0,0,0,0,0,0,0,1,0,agee.death.4.8.sent,agee.death.4.8.sents32,0,0,0,0,0,0,p
10,s33,0,0,0,0,0,0,0,0,2,0,agee.death.4.8.sent,agee.death.4.8.sents33,0,0,0,0,0,0,p
10,s34,0,0,0,0,0,0,0,0,0,0,agee.death.4.8.sent,agee.death.4.8.sents34,0,0,0,0,0,0,p
11,s22,0,0,0,0,0,0,0,0,0,0,agee.death.4.9.sent,agee.death.4.9.sents22,2,0,2,1,0,1,p
11,s29,0,0,0,0,0,0,0,0,0,0,agee.death.4.9.sent,agee.death.4.9.sents29,0,0,0,0,0,0,p
11,s30,0,0,0,0,0,0,0,0,0,1,agee.death.4.9.sent,agee.death.4.9.sents30,0,0,0,0,0,0,p
11,s34,0,0,0,0,0,0,0,0,0,0,agee.death.4.9.sent,agee.death.4.9.sents34,0,0,0,0,0,0,p
11,s42,0,0,0,0,0,0,0,0,0,0,agee.death.4.9.sent,agee.death.4.9.sents42,0,0,0,0,0,0,p
11,s43,0,0,0,0,0,0,0,0,0,0,agee.death.4.9.sent,agee.death.4.9.sents43,0,0,0,0,0,0,p
11,s71,0,0,0,1,0,0,0,1,0,1,agee.death.4.9.sent,agee.death.4.9.sents71,0,2,0,0,2,0,p
12,s11,0,0,0,0,0,0,0,0,1,0,ahmed.border.0.2.sent,ahmed.border.0.2.sents11,2,0,2,2,0,2,p
12,s12,0,0,0,0,0,0,0,0,0,1,ahmed.border.0.2.sent,ahmed.border.0.2.sents12,0,1,2,0,1,2,p
12,s13,0,0,0,1,0,0,1,0,1,1,ahmed.border.0.2.sent,ahmed.border.0.2.sents13,0,0,3,0,0,3,p
12,s14,0,0,0,0,0,0,0,0,0,0,ahmed.border.0.2.sent,ahmed.border.0.2.sents14,0,0,1,0,0,1,p
12,s15,0,0,0,0,0,0,0,0,0,0,ahmed.border.0.2.sent,ahmed.border.0.2.sents15,1,0,2,1,0,2,p
13,s12,0,0,0,0,0,0,0,0,0,0,aidoo.changes.1.4.sent,aidoo.changes.1.4.sents12,3,0,0,0,0,0,p
13,s18,0,0,0,0,0,0,0,0,0,0,aidoo.changes.1.4.sent,aidoo.changes.1.4.sents18,1,0,0,0,0,0,p
13,s19,0,0,1,0,0,0,0,0,1,0,aidoo.changes.1.4.sent,aidoo.changes.1.4.sents19,1,0,0,1,0,0,p
13,s29,0,0,0,0,0,0,0,0,0,0,aidoo.changes.1.4.sent,aidoo.changes.1.4.sents29,1,0,0,1,0,0,p
13,s38,0,0,0,0,0,0,0,0,0,0,aidoo.changes.1.4.sent,aidoo.changes.1.4.sents38,0,0,0,0,0,0,p
13,s53,0,0,0,0,0,0,0,0,0,0,aidoo.changes.1.4.sent,aidoo.changes.1.4.sents53,0,0,0,0,0,0,p
13,s59,0,0,0,0,0,0,0,0,0,0,aidoo.changes.1.4.sent,aidoo.changes.1.4.sents59,0,0,0,0,0,0,p
14,s3,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents3,1,0,0,1,0,0,p
14,s4,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents4,0,1,2,0,1,2,p
14,s5,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents5,1,1,0,1,1,0,p
14,s6,0,0,0,0,0,0,0,0,0,1,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents6,0,0,0,0,0,0,p
14,s8,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents8,0,0,0,0,0,0,p
14,s18,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents18,1,0,0,0,0,0,p
14,s19,0,0,1,0,0,0,0,1,1,1,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents19,1,0,0,1,0,0,p
14,s24,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents24,2,0,0,1,0,0,p
14,s26,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents26,0,0,0,0,0,0,p
14,s27,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents27,3,0,1,3,0,1,p
14,s28,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents28,0,0,1,0,0,1,p
14,s30,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents30,1,0,1,1,0,1,p
14,s32,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents32,1,0,1,1,0,1,p
14,s34,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents34,1,0,1,1,0,1,p
14,s36,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents36,0,0,1,0,0,1,p
14,s42,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents42,0,0,0,0,0,0,p
14,s44,0,0,1,0,0,1,0,0,0,1,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents44,0,1,1,0,1,1,p
14,s45,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents45,0,0,0,0,0,0,n
14,s50,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents50,0,0,0,0,0,0,n
14,s56,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents56,0,0,0,0,0,0,n
14,s58,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents58,1,0,0,1,0,0,n
14,s62,0,0,1,0,0,0,0,0,0,1,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents62,0,0,0,0,0,0,n
14,s63,0,1,0,1,0,0,0,0,0,1,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents63,0,0,0,0,0,0,n
14,s64,0,0,0,0,0,0,0,0,2,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents64,4,0,0,4,0,0,p
15,s0,0,0,0,0,0,0,0,0,0,0,albee.dream.1.3.sent,albee.dream.1.3.sents0,0,0,1,0,0,1,p
15,s14,0,0,0,0,0,0,0,0,0,0,albee.dream.1.3.sent,albee.dream.1.3.sents14,1,0,1,1,0,1,p
15,s15,0,0,0,0,0,0,0,0,0,0,albee.dream.1.3.sent,albee.dream.1.3.sents15,0,0,0,0,0,0,p
15,s21,0,0,0,0,0,0,0,0,0,0,albee.dream.1.3.sent,albee.dream.1.3.sents21,0,0,0,0,0,0,p
15,s22,0,0,0,0,0,0,0,0,0,0,albee.dream.1.3.sent,albee.dream.1.3.sents22,0,0,0,0,0,0,p
15,s27,0,0,0,0,0,0,0,0,0,0,albee.dream.1.3.sent,albee.dream.1.3.sents27,1,0,1,0,0,0,p
15,s30,0,0,0,0,0,0,0,0,0,0,albee.dream.1.3.sent,albee.dream.1.3.sents30,0,0,1,0,0,0,p
15,s35,0,0,0,0,0,0,0,0,0,1,albee.dream.1.3.sent,albee.dream.1.3.sents35,0,0,1,0,0,1,p
15,s39,0,0,0,0,0,0,0,0,1,0,albee.dream.1.3.sent,albee.dream.1.3.sents39,0,0,1,0,0,0,p
15,s68,0,0,0,1,0,0,0,0,0,0,albee.dream.1.3.sent,albee.dream.1.3.sents68,0,0,1,0,0,0,p
15,s75,0,0,0,0,0,0,0,0,0,0,albee.dream.1.3.sent,albee.dream.1.3.sents75,0,0,1,0,0,0,p
16,s31,0,0,0,0,0,0,0,0,0,0,albee.dream.2.4.sent,albee.dream.2.4.sents31,1,0,0,1,0,0,p
16,s34,0,0,0,0,0,0,0,0,0,0,albee.dream.2.4.sent,albee.dream.2.4.sents34,0,0,0,0,0,0,p
16,s37,0,0,0,0,0,0,0,0,0,0,albee.dream.2.4.sent,albee.dream.2.4.sents37,0,0,0,0,0,0,p
16,s38,0,0,0,0,0,0,0,0,0,0,albee.dream.2.4.sent,albee.dream.2.4.sents38,1,0,0,1,0,0,p
16,s50,0,0,0,0,0,0,0,0,0,0,albee.dream.2.4.sent,albee.dream.2.4.sents50,0,0,0,0,0,0,p
16,s69,0,0,0,0,0,0,0,0,0,0,albee.dream.2.4.sent,albee.dream.2.4.sents69,0,0,0,0,0,0,p
16,s71,0,0,0,0,0,0,0,0,0,0,albee.dream.2.4.sent,albee.dream.2.4.sents71,0,0,0,0,0,0,p
16,s77,0,0,0,0,0,0,0,0,0,0,albee.dream.2.4.sent,albee.dream.2.4.sents77,0,0,0,0,0,0,p
17,s10,0,0,0,0,0,0,0,0,0,0,albee.dream.3.4.sent,albee.dream.3.4.sents10,0,0,0,0,0,0,p
17,s11,0,0,0,0,0,0,0,0,0,1,albee.dream.3.4.sent,albee.dream.3.4.sents11,0,0,0,0,0,0,p
17,s13,0,0,0,0,0,0,0,0,0,0,albee.dream.3.4.sent,albee.dream.3.4.sents13,0,0,0,0,0,0,p
17,s17,0,0,0,0,0,0,0,0,0,0,albee.dream.3.4.sent,albee.dream.3.4.sents17,1,0,0,1,0,0,n
17,s32,0,0,0,1,0,0,0,0,0,1,albee.dream.3.4.sent,albee.dream.3.4.sents32,1,0,0,1,0,0,n
17,s39,0,0,0,0,0,0,0,0,2,0,albee.dream.3.4.sent,albee.dream.3.4.sents39,0,0,1,0,0,0,n
17,s76,0,0,0,0,0,0,0,1,0,0,albee.dream.3.4.sent,albee.dream.3.4.sents76,0,0,0,0,0,0,n
17,s79,0,0,0,0,1,0,0,0,0,0,albee.dream.3.4.sent,albee.dream.3.4.sents79,1,0,1,1,0,1,n
18,s10,0,0,0,0,0,0,0,0,0,0,alcott.little.3.5.sent,alcott.little.3.5.sents10,1,0,0,0,0,0,p
18,s14,0,0,0,0,0,0,0,0,0,0,alcott.little.3.5.sent,alcott.little.3.5.sents14,0,0,1,0,0,0,p
18,s16,0,0,1,0,0,0,0,0,1,0,alcott.little.3.5.sent,alcott.little.3.5.sents16,1,0,1,1,0,1,p
18,s27,0,0,0,1,0,0,0,0,0,1,alcott.little.3.5.sent,alcott.little.3.5.sents27,0,0,0,0,0,0,p
18,s38,0,0,0,0,0,0,0,0,1,0,alcott.little.3.5.sent,alcott.little.3.5.sents38,1,0,0,0,0,0,p
18,s47,0,0,0,0,0,0,1,0,1,0,alcott.little.3.5.sent,alcott.little.3.5.sents47,1,0,0,0,0,0,p
18,s48,0,0,0,0,0,0,1,0,0,0,alcott.little.3.5.sent,alcott.little.3.5.sents48,0,0,0,0,0,0,p
18,s51,0,0,0,0,0,0,0,0,0,0,alcott.little.3.5.sent,alcott.little.3.5.sents51,0,0,0,0,0,0,n
19,s4,0,0,0,0,0,0,0,0,1,1,alighieri.inferno.0.3.sent,alighieri.inferno.0.3.sents4,0,0,0,0,0,0,p
19,s5,0,0,0,0,0,0,2,0,2,1,alighieri.inferno.0.3.sent,alighieri.inferno.0.3.sents5,0,0,0,0,0,0,p
19,s6,0,0,0,0,0,0,0,1,0,1,alighieri.inferno.0.3.sent,alighieri.inferno.0.3.sents6,0,0,0,0,0,0,p
19,s7,0,0,0,0,0,0,0,0,0,0,alighieri.inferno.0.3.sent,alighieri.inferno.0.3.sents7,1,0,0,1,0,0,p
19,s20,0,0,0,0,0,0,0,0,0,0,alighieri.inferno.0.3.sent,alighieri.inferno.0.3.sents20,0,0,0,0,0,0,p
19,s21,0,0,0,1,0,0,0,0,1,0,alighieri.inferno.0.3.sent,alighieri.inferno.0.3.sents21,2,2,0,2,2,0,p
