,Unnamed: 0,sequence,sid,pos_acts_toeachother,neg_acts_toeachother,pos_acts_together,neg_acts_together,pos_char1_acts,neg_char1_acts,pos_char2_acts,neg_char2_acts,pos,neg,filename,unique_ID,29:posFramesFired,30:negFramesFired,31:otherFramesFired,32:posFramewrtCharFired,33:negFramewrtCharFired,34:otherFrameswrtCharFired
0,0,1,s0,0,0,0,0,0,0,0,1,0,1,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents0,2,2,1,1,2,1
1,1,1,s9,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents9,1,1,0,0,0,0
2,2,1,s10,0,0,0,0,0,0,1,0,0,0,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents10,2,1,0,0,0,0
3,3,1,s12,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents12,0,1,0,0,0,0
4,4,1,s13,0,0,0,0,0,0,0,0,0,2,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents13,0,0,0,0,0,0
5,5,1,s14,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents14,0,0,0,0,0,0
6,6,1,s17,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents17,1,0,0,1,0,0
7,7,1,s21,0,0,1,0,0,0,0,0,1,0,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents21,0,2,1,0,2,1
8,8,1,s23,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents23,0,0,0,0,0,0
9,9,1,s24,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents24,0,1,0,0,0,0
10,10,2,s0,0,0,0,0,0,0,0,0,1,0,aeschylus.libation.0.5.sent,aeschylus.libation.0.5.sents0,2,2,1,0,2,0
11,11,2,s12,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.0.5.sent,aeschylus.libation.0.5.sents12,0,1,0,0,0,0
12,12,2,s14,0,0,0,0,0,0,0,0,0,1,aeschylus.libation.0.5.sent,aeschylus.libation.0.5.sents14,0,0,0,0,0,0
13,13,2,s16,0,0,0,0,0,0,0,0,0,1,aeschylus.libation.0.5.sent,aeschylus.libation.0.5.sents16,0,0,0,0,0,0
14,14,2,s20,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.0.5.sent,aeschylus.libation.0.5.sents20,0,0,0,0,0,0
15,15,2,s24,0,0,0,0,0,0,0,0,1,0,aeschylus.libation.0.5.sent,aeschylus.libation.0.5.sents24,0,1,0,0,0,0
16,16,3,s0,0,0,0,0,0,0,0,1,1,0,aeschylus.libation.2.3.sent,aeschylus.libation.2.3.sents0,2,2,1,1,2,1
17,17,3,s10,0,0,1,0,0,1,0,0,1,1,aeschylus.libation.2.3.sent,aeschylus.libation.2.3.sents10,2,1,0,0,0,0
18,18,3,s14,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.2.3.sent,aeschylus.libation.2.3.sents14,0,0,0,0,0,0
19,19,3,s15,0,0,0,0,0,0,0,0,0,1,aeschylus.libation.2.3.sent,aeschylus.libation.2.3.sents15,0,0,0,0,0,0
20,20,3,s17,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.2.3.sent,aeschylus.libation.2.3.sents17,1,0,0,1,0,0
21,21,4,s0,0,0,0,0,0,1,0,0,1,0,aeschylus.libation.3.5.sent,aeschylus.libation.3.5.sents0,2,2,1,1,2,1
22,22,4,s12,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.3.5.sent,aeschylus.libation.3.5.sents12,0,1,0,0,0,0
23,23,4,s14,0,0,0,0,0,0,0,0,0,1,aeschylus.libation.3.5.sent,aeschylus.libation.3.5.sents14,0,0,0,0,0,0
24,24,4,s15,0,0,0,0,0,0,0,0,0,1,aeschylus.libation.3.5.sent,aeschylus.libation.3.5.sents15,0,0,0,0,0,0
25,25,4,s18,0,0,0,0,0,0,0,1,0,1,aeschylus.libation.3.5.sent,aeschylus.libation.3.5.sents18,0,0,0,0,0,0
26,26,4,s22,1,0,0,1,0,0,0,0,0,1,aeschylus.libation.3.5.sent,aeschylus.libation.3.5.sents22,0,0,1,0,0,1
27,27,4,s24,0,0,0,0,0,0,0,0,1,0,aeschylus.libation.3.5.sent,aeschylus.libation.3.5.sents24,0,1,0,0,0,0
28,28,5,s5,0,0,0,0,0,0,0,0,0,0,agee.death.0.1.sent,agee.death.0.1.sents5,0,0,1,0,0,1
29,29,5,s6,0,0,0,0,0,0,0,0,0,0,agee.death.0.1.sent,agee.death.0.1.sents6,0,1,1,0,1,1
30,30,5,s7,0,0,0,0,0,1,0,0,1,1,agee.death.0.1.sent,agee.death.0.1.sents7,0,0,0,0,0,0
31,31,5,s15,0,0,0,0,0,1,0,0,1,0,agee.death.0.1.sent,agee.death.0.1.sents15,0,0,1,0,0,1
32,32,5,s40,0,0,0,0,0,0,1,0,1,0,agee.death.0.1.sent,agee.death.0.1.sents40,0,0,1,0,0,0
33,33,5,s41,0,0,0,0,0,0,0,0,0,1,agee.death.0.1.sent,agee.death.0.1.sents41,1,0,0,0,0,0
34,34,6,s10,0,0,0,0,0,0,0,0,0,0,agee.death.1.4.sent,agee.death.1.4.sents10,1,0,0,1,0,0
35,35,6,s11,0,0,0,0,0,0,1,0,0,1,agee.death.1.4.sent,agee.death.1.4.sents11,0,1,1,0,1,1
36,36,6,s12,0,0,1,0,0,0,0,0,2,0,agee.death.1.4.sent,agee.death.1.4.sents12,1,0,0,1,0,0
37,37,6,s14,0,0,0,0,0,0,0,0,0,0,agee.death.1.4.sent,agee.death.1.4.sents14,0,0,1,0,0,1
38,38,6,s21,0,0,0,0,0,0,0,0,0,1,agee.death.1.4.sent,agee.death.1.4.sents21,1,0,1,1,0,1
39,39,6,s30,0,0,0,0,0,0,0,0,0,0,agee.death.1.4.sent,agee.death.1.4.sents30,0,0,0,0,0,0
40,40,6,s41,0,0,0,0,0,0,0,0,0,0,agee.death.1.4.sent,agee.death.1.4.sents41,1,0,0,0,0,0
41,41,6,s42,0,0,0,0,0,0,0,0,0,0,agee.death.1.4.sent,agee.death.1.4.sents42,0,0,0,0,0,0
42,42,6,s44,0,0,0,0,0,0,0,0,0,0,agee.death.1.4.sent,agee.death.1.4.sents44,0,0,0,0,0,0
43,43,7,s30,0,0,0,0,0,0,0,0,0,1,agee.death.1.9.sent,agee.death.1.9.sents30,0,0,0,0,0,0
44,44,7,s36,0,0,0,0,0,1,0,0,0,0,agee.death.1.9.sent,agee.death.1.9.sents36,0,0,0,0,0,0
45,45,7,s40,0,0,0,0,1,0,0,0,1,0,agee.death.1.9.sent,agee.death.1.9.sents40,0,0,1,0,0,0
46,46,7,s42,0,0,0,0,0,0,0,0,0,0,agee.death.1.9.sent,agee.death.1.9.sents42,0,0,0,0,0,0
47,47,7,s70,0,0,0,0,0,1,0,0,0,2,agee.death.1.9.sent,agee.death.1.9.sents70,0,0,1,0,0,0
48,48,8,s18,0,0,0,0,0,0,0,0,0,0,agee.death.3.4.sent,agee.death.3.4.sents18,0,0,0,0,0,0
49,49,8,s23,0,0,0,1,0,0,0,0,0,0,agee.death.3.4.sent,agee.death.3.4.sents23,0,0,0,0,0,0
50,50,8,s34,0,0,0,0,0,0,0,0,0,0,agee.death.3.4.sent,agee.death.3.4.sents34,0,0,0,0,0,0
51,51,8,s43,0,0,0,0,0,0,0,0,0,0,agee.death.3.4.sent,agee.death.3.4.sents43,0,0,0,0,0,0
52,52,8,s47,0,0,0,0,0,0,0,0,0,0,agee.death.3.4.sent,agee.death.3.4.sents47,0,0,0,0,0,0
53,53,8,s61,0,0,1,0,0,0,0,0,0,0,agee.death.3.4.sent,agee.death.3.4.sents61,0,0,2,0,0,0
54,54,8,s71,0,0,0,1,0,0,0,0,0,0,agee.death.3.4.sent,agee.death.3.4.sents71,0,2,0,0,0,0
55,55,9,s18,0,0,0,0,0,0,0,0,0,0,agee.death.3.7.sent,agee.death.3.7.sents18,0,0,0,0,0,0
56,56,9,s19,0,0,0,0,0,0,0,0,0,0,agee.death.3.7.sent,agee.death.3.7.sents19,1,0,1,1,0,1
57,57,9,s20,0,0,0,0,0,0,0,0,0,0,agee.death.3.7.sent,agee.death.3.7.sents20,2,0,0,2,0,0
58,58,9,s54,0,0,0,0,0,0,0,0,0,0,agee.death.3.7.sent,agee.death.3.7.sents54,0,0,1,0,0,1
59,59,9,s59,0,0,0,1,0,0,0,0,0,2,agee.death.3.7.sent,agee.death.3.7.sents59,0,0,1,0,0,0
60,60,9,s60,0,0,0,0,0,0,0,0,0,0,agee.death.3.7.sent,agee.death.3.7.sents60,0,0,0,0,0,0
61,61,9,s71,0,0,0,0,0,1,0,0,0,2,agee.death.3.7.sent,agee.death.3.7.sents71,0,2,0,0,0,0
62,62,10,s26,0,0,0,0,0,0,0,0,0,0,agee.death.4.8.sent,agee.death.4.8.sents26,0,0,1,0,0,1
63,63,10,s27,0,0,0,0,0,0,0,0,0,0,agee.death.4.8.sent,agee.death.4.8.sents27,0,0,0,0,0,0
64,64,10,s32,0,0,0,0,0,0,0,0,1,0,agee.death.4.8.sent,agee.death.4.8.sents32,0,0,0,0,0,0
65,65,10,s33,0,0,0,0,0,0,0,0,2,0,agee.death.4.8.sent,agee.death.4.8.sents33,0,0,0,0,0,0
66,66,10,s34,0,0,0,0,0,0,0,0,0,0,agee.death.4.8.sent,agee.death.4.8.sents34,0,0,0,0,0,0
67,67,11,s22,0,0,0,0,0,0,0,0,0,0,agee.death.4.9.sent,agee.death.4.9.sents22,2,0,2,1,0,1
68,68,11,s29,0,0,0,0,0,0,0,0,0,0,agee.death.4.9.sent,agee.death.4.9.sents29,0,0,0,0,0,0
69,69,11,s30,0,0,0,0,0,0,0,0,0,1,agee.death.4.9.sent,agee.death.4.9.sents30,0,0,0,0,0,0
70,70,11,s34,0,0,0,0,0,0,0,0,0,0,agee.death.4.9.sent,agee.death.4.9.sents34,0,0,0,0,0,0
71,71,11,s42,0,0,0,0,0,0,0,0,0,0,agee.death.4.9.sent,agee.death.4.9.sents42,0,0,0,0,0,0
72,72,11,s43,0,0,0,0,0,0,0,0,0,0,agee.death.4.9.sent,agee.death.4.9.sents43,0,0,0,0,0,0
73,73,11,s71,0,0,0,1,0,0,0,1,0,1,agee.death.4.9.sent,agee.death.4.9.sents71,0,2,0,0,2,0
74,74,12,s11,0,0,0,0,0,0,0,0,1,0,ahmed.border.0.2.sent,ahmed.border.0.2.sents11,2,0,2,2,0,2
75,75,12,s12,0,0,0,0,0,0,0,0,0,1,ahmed.border.0.2.sent,ahmed.border.0.2.sents12,0,1,2,0,1,2
76,76,12,s13,0,0,0,1,0,0,1,0,1,1,ahmed.border.0.2.sent,ahmed.border.0.2.sents13,0,0,3,0,0,3
77,77,12,s14,0,0,0,0,0,0,0,0,0,0,ahmed.border.0.2.sent,ahmed.border.0.2.sents14,0,0,1,0,0,1
78,78,12,s15,0,0,0,0,0,0,0,0,0,0,ahmed.border.0.2.sent,ahmed.border.0.2.sents15,1,0,2,1,0,2
79,79,13,s12,0,0,0,0,0,0,0,0,0,0,aidoo.changes.1.4.sent,aidoo.changes.1.4.sents12,3,0,0,0,0,0
80,80,13,s18,0,0,0,0,0,0,0,0,0,0,aidoo.changes.1.4.sent,aidoo.changes.1.4.sents18,1,0,0,0,0,0
81,81,13,s19,0,0,1,0,0,0,0,0,1,0,aidoo.changes.1.4.sent,aidoo.changes.1.4.sents19,1,0,0,1,0,0
82,82,13,s29,0,0,0,0,0,0,0,0,0,0,aidoo.changes.1.4.sent,aidoo.changes.1.4.sents29,1,0,0,1,0,0
83,83,13,s38,0,0,0,0,0,0,0,0,0,0,aidoo.changes.1.4.sent,aidoo.changes.1.4.sents38,0,0,0,0,0,0
84,84,13,s53,0,0,0,0,0,0,0,0,0,0,aidoo.changes.1.4.sent,aidoo.changes.1.4.sents53,0,0,0,0,0,0
85,85,13,s59,0,0,0,0,0,0,0,0,0,0,aidoo.changes.1.4.sent,aidoo.changes.1.4.sents59,0,0,0,0,0,0
86,86,14,s3,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents3,1,0,0,1,0,0
87,87,14,s4,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents4,0,1,2,0,1,2
88,88,14,s5,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents5,1,1,0,1,1,0
89,89,14,s6,0,0,0,0,0,0,0,0,0,1,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents6,0,0,0,0,0,0
90,90,14,s8,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents8,0,0,0,0,0,0
91,91,14,s18,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents18,1,0,0,0,0,0
92,92,14,s19,0,0,1,0,0,0,0,1,1,1,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents19,1,0,0,1,0,0
93,93,14,s24,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents24,2,0,0,1,0,0
94,94,14,s26,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents26,0,0,0,0,0,0
95,95,14,s27,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents27,3,0,1,3,0,1
96,96,14,s28,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents28,0,0,1,0,0,1
97,97,14,s30,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents30,1,0,1,1,0,1
98,98,14,s32,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents32,1,0,1,1,0,1
99,99,14,s34,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents34,1,0,1,1,0,1
100,100,14,s36,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents36,0,0,1,0,0,1
101,101,14,s42,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents42,0,0,0,0,0,0
102,102,14,s44,0,0,1,0,0,1,0,0,0,1,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents44,0,1,1,0,1,1
103,103,14,s45,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents45,0,0,0,0,0,0
104,104,14,s50,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents50,0,0,0,0,0,0
105,105,14,s56,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents56,0,0,0,0,0,0
106,106,14,s58,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents58,1,0,0,1,0,0
107,107,14,s62,0,0,1,0,0,0,0,0,0,1,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents62,0,0,0,0,0,0
108,108,14,s63,0,1,0,1,0,0,0,0,0,1,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents63,0,0,0,0,0,0
109,109,14,s64,0,0,0,0,0,0,0,0,2,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents64,4,0,0,4,0,0
110,110,15,s0,0,0,0,0,0,0,0,0,0,0,albee.dream.1.3.sent,albee.dream.1.3.sents0,0,0,1,0,0,1
111,111,15,s14,0,0,0,0,0,0,0,0,0,0,albee.dream.1.3.sent,albee.dream.1.3.sents14,1,0,1,1,0,1
112,112,15,s15,0,0,0,0,0,0,0,0,0,0,albee.dream.1.3.sent,albee.dream.1.3.sents15,0,0,0,0,0,0
113,113,15,s21,0,0,0,0,0,0,0,0,0,0,albee.dream.1.3.sent,albee.dream.1.3.sents21,0,0,0,0,0,0
114,114,15,s22,0,0,0,0,0,0,0,0,0,0,albee.dream.1.3.sent,albee.dream.1.3.sents22,0,0,0,0,0,0
115,115,15,s27,0,0,0,0,0,0,0,0,0,0,albee.dream.1.3.sent,albee.dream.1.3.sents27,1,0,1,0,0,0
116,116,15,s30,0,0,0,0,0,0,0,0,0,0,albee.dream.1.3.sent,albee.dream.1.3.sents30,0,0,1,0,0,0
117,117,15,s35,0,0,0,0,0,0,0,0,0,1,albee.dream.1.3.sent,albee.dream.1.3.sents35,0,0,1,0,0,1
118,118,15,s39,0,0,0,0,0,0,0,0,1,0,albee.dream.1.3.sent,albee.dream.1.3.sents39,0,0,1,0,0,0
119,119,15,s68,0,0,0,1,0,0,0,0,0,0,albee.dream.1.3.sent,albee.dream.1.3.sents68,0,0,1,0,0,0
120,120,15,s75,0,0,0,0,0,0,0,0,0,0,albee.dream.1.3.sent,albee.dream.1.3.sents75,0,0,1,0,0,0
121,121,16,s31,0,0,0,0,0,0,0,0,0,0,albee.dream.2.4.sent,albee.dream.2.4.sents31,1,0,0,1,0,0
122,122,16,s34,0,0,0,0,0,0,0,0,0,0,albee.dream.2.4.sent,albee.dream.2.4.sents34,0,0,0,0,0,0
123,123,16,s37,0,0,0,0,0,0,0,0,0,0,albee.dream.2.4.sent,albee.dream.2.4.sents37,0,0,0,0,0,0
124,124,16,s38,0,0,0,0,0,0,0,0,0,0,albee.dream.2.4.sent,albee.dream.2.4.sents38,1,0,0,1,0,0
125,125,16,s50,0,0,0,0,0,0,0,0,0,0,albee.dream.2.4.sent,albee.dream.2.4.sents50,0,0,0,0,0,0
126,126,16,s69,0,0,0,0,0,0,0,0,0,0,albee.dream.2.4.sent,albee.dream.2.4.sents69,0,0,0,0,0,0
127,127,16,s71,0,0,0,0,0,0,0,0,0,0,albee.dream.2.4.sent,albee.dream.2.4.sents71,0,0,0,0,0,0
128,128,16,s77,0,0,0,0,0,0,0,0,0,0,albee.dream.2.4.sent,albee.dream.2.4.sents77,0,0,0,0,0,0
129,129,17,s10,0,0,0,0,0,0,0,0,0,0,albee.dream.3.4.sent,albee.dream.3.4.sents10,0,0,0,0,0,0
130,130,17,s11,0,0,0,0,0,0,0,0,0,1,albee.dream.3.4.sent,albee.dream.3.4.sents11,0,0,0,0,0,0
131,131,17,s13,0,0,0,0,0,0,0,0,0,0,albee.dream.3.4.sent,albee.dream.3.4.sents13,0,0,0,0,0,0
132,132,17,s17,0,0,0,0,0,0,0,0,0,0,albee.dream.3.4.sent,albee.dream.3.4.sents17,1,0,0,1,0,0
133,133,17,s32,0,0,0,1,0,0,0,0,0,1,albee.dream.3.4.sent,albee.dream.3.4.sents32,1,0,0,1,0,0
134,134,17,s39,0,0,0,0,0,0,0,0,2,0,albee.dream.3.4.sent,albee.dream.3.4.sents39,0,0,1,0,0,0
135,135,17,s76,0,0,0,0,0,0,0,1,0,0,albee.dream.3.4.sent,albee.dream.3.4.sents76,0,0,0,0,0,0
136,136,17,s79,0,0,0,0,1,0,0,0,0,0,albee.dream.3.4.sent,albee.dream.3.4.sents79,1,0,1,1,0,1
137,137,18,s10,0,0,0,0,0,0,0,0,0,0,alcott.little.3.5.sent,alcott.little.3.5.sents10,1,0,0,0,0,0
138,138,18,s14,0,0,0,0,0,0,0,0,0,0,alcott.little.3.5.sent,alcott.little.3.5.sents14,0,0,1,0,0,0
139,139,18,s16,0,0,1,0,0,0,0,0,1,0,alcott.little.3.5.sent,alcott.little.3.5.sents16,1,0,1,1,0,1
140,140,18,s27,0,0,0,1,0,0,0,0,0,1,alcott.little.3.5.sent,alcott.little.3.5.sents27,0,0,0,0,0,0
141,141,18,s38,0,0,0,0,0,0,0,0,1,0,alcott.little.3.5.sent,alcott.little.3.5.sents38,1,0,0,0,0,0
142,142,18,s47,0,0,0,0,0,0,1,0,1,0,alcott.little.3.5.sent,alcott.little.3.5.sents47,1,0,0,0,0,0
143,143,18,s48,0,0,0,0,0,0,1,0,0,0,alcott.little.3.5.sent,alcott.little.3.5.sents48,0,0,0,0,0,0
144,144,18,s51,0,0,0,0,0,0,0,0,0,0,alcott.little.3.5.sent,alcott.little.3.5.sents51,0,0,0,0,0,0
145,145,19,s4,0,0,0,0,0,0,0,0,1,1,alighieri.inferno.0.3.sent,alighieri.inferno.0.3.sents4,0,0,0,0,0,0
146,146,19,s5,0,0,0,0,0,0,2,0,2,1,alighieri.inferno.0.3.sent,alighieri.inferno.0.3.sents5,0,0,0,0,0,0
147,147,19,s6,0,0,0,0,0,0,0,1,0,1,alighieri.inferno.0.3.sent,alighieri.inferno.0.3.sents6,0,0,0,0,0,0
148,148,19,s7,0,0,0,0,0,0,0,0,0,0,alighieri.inferno.0.3.sent,alighieri.inferno.0.3.sents7,1,0,0,1,0,0
149,149,19,s20,0,0,0,0,0,0,0,0,0,0,alighieri.inferno.0.3.sent,alighieri.inferno.0.3.sents20,0,0,0,0,0,0
150,150,19,s21,0,0,0,1,0,0,0,0,1,0,alighieri.inferno.0.3.sent,alighieri.inferno.0.3.sents21,2,2,0,2,2,0
151,151,19,s24,0,0,0,0,0,0,0,0,0,0,alighieri.inferno.0.3.sent,alighieri.inferno.0.3.sents24,1,0,0,1,0,0
152,152,19,s30,0,0,0,0,0,0,0,0,0,0,alighieri.inferno.0.3.sent,alighieri.inferno.0.3.sents30,0,0,0,0,0,0
153,153,19,s41,0,0,0,0,0,0,0,0,0,0,alighieri.inferno.0.3.sent,alighieri.inferno.0.3.sents41,0,0,0,0,0,0
154,154,19,s42,0,0,0,0,0,0,0,0,0,0,alighieri.inferno.0.3.sent,alighieri.inferno.0.3.sents42,1,0,0,1,0,0
155,155,19,s46,0,0,0,0,0,0,0,0,0,0,alighieri.inferno.0.3.sent,alighieri.inferno.0.3.sents46,0,0,0,0,0,0
156,156,19,s52,0,0,0,0,0,0,0,0,0,0,alighieri.inferno.0.3.sent,alighieri.inferno.0.3.sents52,0,1,0,0,0,0
157,157,20,s3,0,0,1,0,0,0,0,0,3,0,allende.house.1.2.sent,allende.house.1.2.sents3,0,0,1,0,0,0
158,158,20,s6,0,0,0,1,0,0,0,0,0,2,allende.house.1.2.sent,allende.house.1.2.sents6,0,1,1,0,1,1
159,159,20,s14,0,0,0,0,0,0,0,0,0,0,allende.house.1.2.sent,allende.house.1.2.sents14,1,0,0,1,0,0
160,160,20,s17,0,0,0,0,0,0,0,0,0,0,allende.house.1.2.sent,allende.house.1.2.sents17,1,0,0,0,0,0
